Size,prompt_name,prompt,Function,Min,Average,Max,Minimum Average,Percentage
1000,prompt_1,"""Count pairs of elements in an array whose sum equals a given sum (but) do it in a single iteration(!) The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a first argument and ""arg2"" as a second argument as a parameters..""",p4_sum_array_pairs,0.0042403,0.007043351,0.0173065,,
10000,prompt_1,"""Count pairs of elements in an array whose sum equals a given sum (but) do it in a single iteration(!) The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a first argument and ""arg2"" as a second argument as a parameters..""",p4_sum_array_pairs,0.0526791,0.074605667,0.1745283,,
100000,prompt_1,"""Count pairs of elements in an array whose sum equals a given sum (but) do it in a single iteration(!) The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a first argument and ""arg2"" as a second argument as a parameters..""",p4_sum_array_pairs,0.6671126,1.15469873,6.3098014,,
1000,prompt_2,"""Count pairs of elements in an array whose sum equals a given sum (but) do it in a single iteration(!) The implementation should be fast. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a first argument and ""arg2"" as a second argument as a parameters..""",p4_sum_array_pairs,0.0042329,0.007299728,0.0298273,,
10000,prompt_2,"""Count pairs of elements in an array whose sum equals a given sum (but) do it in a single iteration(!) The implementation should be fast. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a first argument and ""arg2"" as a second argument as a parameters..""",p4_sum_array_pairs,0.0525099,0.076602615,0.1533699,,
100000,prompt_2,"""Count pairs of elements in an array whose sum equals a given sum (but) do it in a single iteration(!) The implementation should be fast. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a first argument and ""arg2"" as a second argument as a parameters..""",p4_sum_array_pairs,0.8161896,1.178689014,2.2978182,,
1000,prompt_3,"""Count pairs of elements in an array whose sum equals a given sum (but) do it in a single iteration(!) The implementation should be fast as the size of the list grows. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a first argument and ""arg2"" as a second argument as a parameters..""",p4_sum_array_pairs,0.0042838,0.007713719,0.0311137,,
10000,prompt_3,"""Count pairs of elements in an array whose sum equals a given sum (but) do it in a single iteration(!) The implementation should be fast as the size of the list grows. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a first argument and ""arg2"" as a second argument as a parameters..""",p4_sum_array_pairs,0.0521118,0.080311133,0.2048543,,
100000,prompt_3,"""Count pairs of elements in an array whose sum equals a given sum (but) do it in a single iteration(!) The implementation should be fast as the size of the list grows. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a first argument and ""arg2"" as a second argument as a parameters..""",p4_sum_array_pairs,0.8263265,1.223422017,2.3831838,,
1000,prompt_4,"""Count pairs of elements in an array whose sum equals a given sum (but) do it in a single iteration(!) The implementation should have the most optimal time complexity possible. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a first argument and ""arg2"" as a second argument as a parameters..""",p4_sum_array_pairs,0.0043755,0.007251859,0.0204328,,
