problem,prompt_name,code_index,code_segment,Size,Min,Average,Max,Exception
p5_find_duplicates_list,prompt_1,1,"['def funcImp(arg1):\n    duplicates = []\n    seen = set()\n    for num in arg1:\n        if num in seen:\n            if num not in duplicates:\n                duplicates.append(num)\n        else:\n            seen.add(num)\n    return duplicates\ninput_list = [1, 2, 3, 2, 4, 5, 6, 5, 7, 8, 9, 1]\npass']",1000,0.0033521000295877457,0.003572839001426473,0.00760820007417351,N/A
p5_find_duplicates_list,prompt_1,1,"['def funcImp(arg1):\n    duplicates = []\n    seen = set()\n    for num in arg1:\n        if num in seen:\n            if num not in duplicates:\n                duplicates.append(num)\n        else:\n            seen.add(num)\n    return duplicates\ninput_list = [1, 2, 3, 2, 4, 5, 6, 5, 7, 8, 9, 1]\npass']",10000,0.04260239994619042,0.04672575299744494,0.07159039995167404,N/A
p5_find_duplicates_list,prompt_1,1,"['def funcImp(arg1):\n    duplicates = []\n    seen = set()\n    for num in arg1:\n        if num in seen:\n            if num not in duplicates:\n                duplicates.append(num)\n        else:\n            seen.add(num)\n    return duplicates\ninput_list = [1, 2, 3, 2, 4, 5, 6, 5, 7, 8, 9, 1]\npass']",100000,4.524311500019394,4.679582819006173,4.8811821000417694,N/A
p5_find_duplicates_list,prompt_1,2,['def funcImp(arg1):\n    seen = set()\n    duplicates = []\n    for number in arg1:\n        if number in seen:\n            if number not in duplicates:\n                duplicates.append(number)\n        else:\n            seen.add(number)\n    return duplicates'],1000,0.0033233000431209803,0.0034950370027218014,0.004264199989847839,N/A
p5_find_duplicates_list,prompt_1,2,['def funcImp(arg1):\n    seen = set()\n    duplicates = []\n    for number in arg1:\n        if number in seen:\n            if number not in duplicates:\n                duplicates.append(number)\n        else:\n            seen.add(number)\n    return duplicates'],10000,0.04201860004104674,0.044831442002905536,0.07158240000717342,N/A
p5_find_duplicates_list,prompt_1,2,['def funcImp(arg1):\n    seen = set()\n    duplicates = []\n    for number in arg1:\n        if number in seen:\n            if number not in duplicates:\n                duplicates.append(number)\n        else:\n            seen.add(number)\n    return duplicates'],100000,4.515911299968138,4.667508640002925,5.41373360005673,N/A
p5_find_duplicates_list,prompt_1,3,"['def funcImp(arg1):\n    count_dict = {}\n    duplicates = []\n    for num in arg1:\n        if num in count_dict:\n            count_dict[num] += 1\n        else:\n            count_dict[num] = 1\n    for num, count in count_dict.items():\n        if count > 1:\n            duplicates.append(num)\n    return duplicates']",1000,0.005203600041568279,0.005544841999653727,0.008016600040718913,N/A
p5_find_duplicates_list,prompt_1,3,"['def funcImp(arg1):\n    count_dict = {}\n    duplicates = []\n    for num in arg1:\n        if num in count_dict:\n            count_dict[num] += 1\n        else:\n            count_dict[num] = 1\n    for num, count in count_dict.items():\n        if count > 1:\n            duplicates.append(num)\n    return duplicates']",10000,0.05524510005488992,0.05916436100960709,0.0829906000290066,N/A
p5_find_duplicates_list,prompt_1,3,"['def funcImp(arg1):\n    count_dict = {}\n    duplicates = []\n    for num in arg1:\n        if num in count_dict:\n            count_dict[num] += 1\n        else:\n            count_dict[num] = 1\n    for num, count in count_dict.items():\n        if count > 1:\n            duplicates.append(num)\n    return duplicates']",100000,0.9279820999363437,0.9483217069949024,1.0209876999724656,N/A
p5_find_duplicates_list,prompt_1,4,"['def funcImp(arg1):\n    from collections import Counter\n    counts = Counter(arg1)\n    duplicates = [item for item, count in counts.items() if count > 1]\n    return duplicates']",1000,0.003768000053241849,0.0041235580074135214,0.005904999910853803,N/A
p5_find_duplicates_list,prompt_1,4,"['def funcImp(arg1):\n    from collections import Counter\n    counts = Counter(arg1)\n    duplicates = [item for item, count in counts.items() if count > 1]\n    return duplicates']",10000,0.04054870002437383,0.04298424999928102,0.05637939996086061,N/A
p5_find_duplicates_list,prompt_1,4,"['def funcImp(arg1):\n    from collections import Counter\n    counts = Counter(arg1)\n    duplicates = [item for item, count in counts.items() if count > 1]\n    return duplicates']",100000,0.7495947999414057,0.773516549996566,0.826844499912113,N/A
p5_find_duplicates_list,prompt_1,5,"['def funcImp(arg1):\n    duplicates = []\n    seen = set()\n    for item in arg1:\n        if item in seen:\n            if item not in duplicates:\n                duplicates.append(item)\n        else:\n            seen.add(item)\n    return duplicates\ninput_list = [1, 2, 3, 3, 2, 4, 5, 6, 6]\npass']",1000,0.003299799980595708,0.0035362539975903927,0.004681300022639334,N/A
p5_find_duplicates_list,prompt_1,5,"['def funcImp(arg1):\n    duplicates = []\n    seen = set()\n    for item in arg1:\n        if item in seen:\n            if item not in duplicates:\n                duplicates.append(item)\n        else:\n            seen.add(item)\n    return duplicates\ninput_list = [1, 2, 3, 3, 2, 4, 5, 6, 6]\npass']",10000,0.04234729998279363,0.04564083099830896,0.07310030004009604,N/A
p5_find_duplicates_list,prompt_1,5,"['def funcImp(arg1):\n    duplicates = []\n    seen = set()\n    for item in arg1:\n        if item in seen:\n            if item not in duplicates:\n                duplicates.append(item)\n        else:\n            seen.add(item)\n    return duplicates\ninput_list = [1, 2, 3, 3, 2, 4, 5, 6, 6]\npass']",100000,4.533997500082478,4.688760895002633,5.376851200009696,N/A
p5_find_duplicates_list,prompt_1,6,"['def funcImp(arg1):\n    seen = set()\n    duplicates = set()\n    for item in arg1:\n        if item in seen:\n            duplicates.add(item)\n        else:\n            seen.add(item)\n    return list(duplicates)\nexample_list = [1, 2, 3, 4, 5, 3, 6, 2, 7, 4]\nduplicate_list = funcImp(example_list)\npass']",1000,0.0033144999761134386,0.0036588869930710643,0.008581000030972064,N/A
p5_find_duplicates_list,prompt_1,6,"['def funcImp(arg1):\n    seen = set()\n    duplicates = set()\n    for item in arg1:\n        if item in seen:\n            duplicates.add(item)\n        else:\n            seen.add(item)\n    return list(duplicates)\nexample_list = [1, 2, 3, 4, 5, 3, 6, 2, 7, 4]\nduplicate_list = funcImp(example_list)\npass']",10000,0.04206989996600896,0.04564168100594543,0.06168529996648431,N/A
p5_find_duplicates_list,prompt_1,6,"['def funcImp(arg1):\n    seen = set()\n    duplicates = set()\n    for item in arg1:\n        if item in seen:\n            duplicates.add(item)\n        else:\n            seen.add(item)\n    return list(duplicates)\nexample_list = [1, 2, 3, 4, 5, 3, 6, 2, 7, 4]\nduplicate_list = funcImp(example_list)\npass']",100000,0.7000651999842376,0.7500081589992624,1.126723900088109,N/A
p5_find_duplicates_list,prompt_1,7,"['def funcImp(arg1):\n    count_dict = {}\n    duplicates = []\n    for item in arg1:\n        if item in count_dict:\n            count_dict[item] += 1\n        else:\n            count_dict[item] = 1\n    for key, value in count_dict.items():\n        if value > 1:\n            duplicates.append(key)\n    return duplicates']",1000,0.005277599906548858,0.005600515003316105,0.007314399932511151,N/A
p5_find_duplicates_list,prompt_1,7,"['def funcImp(arg1):\n    count_dict = {}\n    duplicates = []\n    for item in arg1:\n        if item in count_dict:\n            count_dict[item] += 1\n        else:\n            count_dict[item] = 1\n    for key, value in count_dict.items():\n        if value > 1:\n            duplicates.append(key)\n    return duplicates']",10000,0.055797999957576394,0.060303393000504,0.11007970001082867,N/A
p5_find_duplicates_list,prompt_1,7,"['def funcImp(arg1):\n    count_dict = {}\n    duplicates = []\n    for item in arg1:\n        if item in count_dict:\n            count_dict[item] += 1\n        else:\n            count_dict[item] = 1\n    for key, value in count_dict.items():\n        if value > 1:\n            duplicates.append(key)\n    return duplicates']",100000,0.9295164999784902,0.9556383429979906,1.2039879999356344,N/A
p5_find_duplicates_list,prompt_1,8,"['def funcImp(arg1):\n    count_dict = {}\n    for item in arg1:\n        if item in count_dict:\n            count_dict[item] += 1\n        else:\n            count_dict[item] = 1\n    duplicates = [item for item, count in count_dict.items() if count > 1]\n    return duplicates']",1000,0.005062800017185509,0.005459418997634202,0.009108099970035255,N/A
p5_find_duplicates_list,prompt_1,8,"['def funcImp(arg1):\n    count_dict = {}\n    for item in arg1:\n        if item in count_dict:\n            count_dict[item] += 1\n        else:\n            count_dict[item] = 1\n    duplicates = [item for item, count in count_dict.items() if count > 1]\n    return duplicates']",10000,0.0539553000126034,0.057977264993824065,0.07570750010199845,N/A
p5_find_duplicates_list,prompt_1,8,"['def funcImp(arg1):\n    count_dict = {}\n    for item in arg1:\n        if item in count_dict:\n            count_dict[item] += 1\n        else:\n            count_dict[item] = 1\n    duplicates = [item for item, count in count_dict.items() if count > 1]\n    return duplicates']",100000,0.9144032000331208,0.9452978230023291,1.0292674999218434,N/A
p5_find_duplicates_list,prompt_1,9,"['def funcImp(arg1):\n    counts = {}\n    duplicates = []\n    for num in arg1:\n        if num in counts:\n            counts[num] += 1\n        else:\n            counts[num] = 1\n    for num, count in counts.items():\n        if count > 1:\n            duplicates.append(num)\n    return duplicates']",1000,0.005218599922955036,0.005642899994272739,0.007887199986726046,N/A
p5_find_duplicates_list,prompt_1,9,"['def funcImp(arg1):\n    counts = {}\n    duplicates = []\n    for num in arg1:\n        if num in counts:\n            counts[num] += 1\n        else:\n            counts[num] = 1\n    for num, count in counts.items():\n        if count > 1:\n            duplicates.append(num)\n    return duplicates']",10000,0.054818399948999286,0.058506157003575934,0.08359590009786189,N/A
p5_find_duplicates_list,prompt_1,9,"['def funcImp(arg1):\n    counts = {}\n    duplicates = []\n    for num in arg1:\n        if num in counts:\n            counts[num] += 1\n        else:\n            counts[num] = 1\n    for num, count in counts.items():\n        if count > 1:\n            duplicates.append(num)\n    return duplicates']",100000,0.9324083999963477,0.954119255997939,1.0272030999185517,N/A
p5_find_duplicates_list,prompt_1,10,"['def funcImp(arg1):\n    from collections import Counter\n    counter = Counter(arg1)\n    duplicates = [item for item, count in counter.items() if count > 1]\n    return duplicates']",1000,0.003766200039535761,0.004085744002368301,0.007021900033578277,N/A
p5_find_duplicates_list,prompt_1,10,"['def funcImp(arg1):\n    from collections import Counter\n    counter = Counter(arg1)\n    duplicates = [item for item, count in counter.items() if count > 1]\n    return duplicates']",10000,0.040449899970553815,0.043077281998703254,0.060081299976445735,N/A
p5_find_duplicates_list,prompt_1,10,"['def funcImp(arg1):\n    from collections import Counter\n    counter = Counter(arg1)\n    duplicates = [item for item, count in counter.items() if count > 1]\n    return duplicates']",100000,0.7609351000282913,0.7789460359956137,0.8593070000642911,N/A
p5_find_duplicates_list,prompt_1,11,['def funcImp(arg1):\n    seen = set()\n    duplicates = set()\n    for num in arg1:\n        if num in seen:\n            duplicates.add(num)\n        else:\n            seen.add(num)\n    return list(duplicates)'],1000,0.0033409000607207417,0.003547026994638145,0.004763100063428283,N/A
p5_find_duplicates_list,prompt_1,11,['def funcImp(arg1):\n    seen = set()\n    duplicates = set()\n    for num in arg1:\n        if num in seen:\n            duplicates.add(num)\n        else:\n            seen.add(num)\n    return list(duplicates)'],10000,0.04256739991251379,0.04606004999950528,0.061274300096556544,N/A
p5_find_duplicates_list,prompt_1,11,['def funcImp(arg1):\n    seen = set()\n    duplicates = set()\n    for num in arg1:\n        if num in seen:\n            duplicates.add(num)\n        else:\n            seen.add(num)\n    return list(duplicates)'],100000,0.6960526999318972,0.7445334420003928,1.004900199943222,N/A
p5_find_duplicates_list,prompt_1,12,"['from collections import Counter\n\ndef funcImp(arg1):\n    counts = Counter(arg1)\n    duplicates = [item for item, count in counts.items() if count > 1]\n    return duplicates']",1000,0.0037330000195652246,0.00402468399843201,0.006981399958021939,N/A
p5_find_duplicates_list,prompt_1,12,"['from collections import Counter\n\ndef funcImp(arg1):\n    counts = Counter(arg1)\n    duplicates = [item for item, count in counts.items() if count > 1]\n    return duplicates']",10000,0.0395336999790743,0.04372117699938826,0.06190490000881255,N/A
p5_find_duplicates_list,prompt_1,12,"['from collections import Counter\n\ndef funcImp(arg1):\n    counts = Counter(arg1)\n    duplicates = [item for item, count in counts.items() if count > 1]\n    return duplicates']",100000,0.7548469000030309,0.773980697003426,0.8587147000944242,N/A
p5_find_duplicates_list,prompt_1,13,"['def funcImp(arg1):\n    count_dict = {}\n    duplicates = []\n    for item in arg1:\n        if item in count_dict:\n            count_dict[item] += 1\n        else:\n            count_dict[item] = 1\n    for item, count in count_dict.items():\n        if count > 1:\n            duplicates.append(item)\n    return duplicates']",1000,0.0051729000406339765,0.005719024002319202,0.00992380001116544,N/A
p5_find_duplicates_list,prompt_1,13,"['def funcImp(arg1):\n    count_dict = {}\n    duplicates = []\n    for item in arg1:\n        if item in count_dict:\n            count_dict[item] += 1\n        else:\n            count_dict[item] = 1\n    for item, count in count_dict.items():\n        if count > 1:\n            duplicates.append(item)\n    return duplicates']",10000,0.05598730000201613,0.059355408000992614,0.0949326999252662,N/A
p5_find_duplicates_list,prompt_1,13,"['def funcImp(arg1):\n    count_dict = {}\n    duplicates = []\n    for item in arg1:\n        if item in count_dict:\n            count_dict[item] += 1\n        else:\n            count_dict[item] = 1\n    for item, count in count_dict.items():\n        if count > 1:\n            duplicates.append(item)\n    return duplicates']",100000,0.9350552000105381,0.981048239003867,1.0922761000692844,N/A
p5_find_duplicates_list,prompt_1,14,['def funcImp(arg1):\n    seen = set()\n    duplicates = set()\n    for item in arg1:\n        if item in seen:\n            duplicates.add(item)\n        else:\n            seen.add(item)\n    return list(duplicates)'],1000,0.0033221000339835882,0.0035313680034596475,0.0051877000369131565,N/A
p5_find_duplicates_list,prompt_1,14,['def funcImp(arg1):\n    seen = set()\n    duplicates = set()\n    for item in arg1:\n        if item in seen:\n            duplicates.add(item)\n        else:\n            seen.add(item)\n    return list(duplicates)'],10000,0.04204920004121959,0.045870977996382865,0.069970199954696,N/A
p5_find_duplicates_list,prompt_1,14,['def funcImp(arg1):\n    seen = set()\n    duplicates = set()\n    for item in arg1:\n        if item in seen:\n            duplicates.add(item)\n        else:\n            seen.add(item)\n    return list(duplicates)'],100000,0.6994366999715567,0.7439047580002807,0.9034481999697164,N/A
p5_find_duplicates_list,prompt_1,15,['def funcImp(arg1):\n    seen = {}\n    duplicates = []\n    for num in arg1:\n        if num in seen:\n            if seen[num] == 1:\n                duplicates.append(num)\n            seen[num] += 1\n        else:\n            seen[num] = 1\n    return duplicates'],1000,0.0037767000030726194,0.004221750000724569,0.010079700034111738,N/A
p5_find_duplicates_list,prompt_1,15,['def funcImp(arg1):\n    seen = {}\n    duplicates = []\n    for num in arg1:\n        if num in seen:\n            if seen[num] == 1:\n                duplicates.append(num)\n            seen[num] += 1\n        else:\n            seen[num] = 1\n    return duplicates'],10000,0.041952300001867115,0.04516632699640468,0.06725690001621842,N/A
p5_find_duplicates_list,prompt_1,15,['def funcImp(arg1):\n    seen = {}\n    duplicates = []\n    for num in arg1:\n        if num in seen:\n            if seen[num] == 1:\n                duplicates.append(num)\n            seen[num] += 1\n        else:\n            seen[num] = 1\n    return duplicates'],100000,0.7888317999895662,0.8352632170007565,0.942464700085111,N/A
p5_find_duplicates_list,prompt_1,16,['def funcImp(arg1):\n    duplicates = []\n    seen = set()\n    for num in arg1:\n        if num in seen:\n            if num not in duplicates:\n                duplicates.append(num)\n        else:\n            seen.add(num)\n    return duplicates'],1000,0.003304600017145276,0.0034637769951950757,0.004175900015980005,N/A
p5_find_duplicates_list,prompt_1,16,['def funcImp(arg1):\n    duplicates = []\n    seen = set()\n    for num in arg1:\n        if num in seen:\n            if num not in duplicates:\n                duplicates.append(num)\n        else:\n            seen.add(num)\n    return duplicates'],10000,0.04244360001757741,0.04686963199870661,0.06608080002479255,N/A
p5_find_duplicates_list,prompt_1,16,['def funcImp(arg1):\n    duplicates = []\n    seen = set()\n    for num in arg1:\n        if num in seen:\n            if num not in duplicates:\n                duplicates.append(num)\n        else:\n            seen.add(num)\n    return duplicates'],100000,4.528740100096911,4.76774535600096,5.4893673999467865,N/A
p5_find_duplicates_list,prompt_1,17,['def funcImp(arg1):\n    seen = set()\n    duplicates = set()\n    for num in arg1:\n        if num in seen:\n            duplicates.add(num)\n        else:\n            seen.add(num)\n    return list(duplicates)'],1000,0.0033309999853372574,0.003716601001797244,0.0067903000162914395,N/A
p5_find_duplicates_list,prompt_1,17,['def funcImp(arg1):\n    seen = set()\n    duplicates = set()\n    for num in arg1:\n        if num in seen:\n            duplicates.add(num)\n        else:\n            seen.add(num)\n    return list(duplicates)'],10000,0.04196339996997267,0.0455799790029414,0.08475100004579872,N/A
p5_find_duplicates_list,prompt_1,17,['def funcImp(arg1):\n    seen = set()\n    duplicates = set()\n    for num in arg1:\n        if num in seen:\n            duplicates.add(num)\n        else:\n            seen.add(num)\n    return list(duplicates)'],100000,0.7029282000148669,0.7376634599966928,0.8162868999643251,N/A
p5_find_duplicates_list,prompt_1,18,"['def funcImp(arg1):\n    seen = set()\n    duplicates = set()\n    for num in arg1:\n        if num in seen:\n            duplicates.add(num)\n        else:\n            seen.add(num)\n    return list(duplicates)\ninput_list = [1, 2, 3, 2, 4, 5, 3, 6, 1]\npass']",1000,0.003324999939650297,0.003524159995140508,0.0050558000802993774,N/A
p5_find_duplicates_list,prompt_1,18,"['def funcImp(arg1):\n    seen = set()\n    duplicates = set()\n    for num in arg1:\n        if num in seen:\n            duplicates.add(num)\n        else:\n            seen.add(num)\n    return list(duplicates)\ninput_list = [1, 2, 3, 2, 4, 5, 3, 6, 1]\npass']",10000,0.04187870002351701,0.04659933500108309,0.09414930001366884,N/A
p5_find_duplicates_list,prompt_1,18,"['def funcImp(arg1):\n    seen = set()\n    duplicates = set()\n    for num in arg1:\n        if num in seen:\n            duplicates.add(num)\n        else:\n            seen.add(num)\n    return list(duplicates)\ninput_list = [1, 2, 3, 2, 4, 5, 3, 6, 1]\npass']",100000,0.7059939000755548,0.7389287470048294,1.1558631000807509,N/A
p5_find_duplicates_list,prompt_1,19,"['def funcImp(arg1):\n    seen = set()\n    duplicates = set()\n    for item in arg1:\n        if item in seen:\n            duplicates.add(item)\n        else:\n            seen.add(item)\n    return list(duplicates)\noriginal_list = [1, 1, 2, 3, 4, 4, 5, 6, 6, 7, 8, 8, 9]\nduplicates_list = funcImp(original_list)\npass']",1000,0.0033195000141859055,0.003575348994927481,0.005704400013200939,N/A
p5_find_duplicates_list,prompt_1,19,"['def funcImp(arg1):\n    seen = set()\n    duplicates = set()\n    for item in arg1:\n        if item in seen:\n            duplicates.add(item)\n        else:\n            seen.add(item)\n    return list(duplicates)\noriginal_list = [1, 1, 2, 3, 4, 4, 5, 6, 6, 7, 8, 8, 9]\nduplicates_list = funcImp(original_list)\npass']",10000,0.042263500043191016,0.04597492501139641,0.08097300003282726,N/A
p5_find_duplicates_list,prompt_1,19,"['def funcImp(arg1):\n    seen = set()\n    duplicates = set()\n    for item in arg1:\n        if item in seen:\n            duplicates.add(item)\n        else:\n            seen.add(item)\n    return list(duplicates)\noriginal_list = [1, 1, 2, 3, 4, 4, 5, 6, 6, 7, 8, 8, 9]\nduplicates_list = funcImp(original_list)\npass']",100000,0.7027575999964029,0.7510536999965552,1.0930492000188679,N/A
p5_find_duplicates_list,prompt_1,20,['def funcImp(arg1):\n    duplicates = []\n    seen = set()\n    for item in arg1:\n        if item in seen and item not in duplicates:\n            duplicates.append(item)\n        seen.add(item)\n    return duplicates'],1000,0.003303700010292232,0.003538624997017905,0.004963999963365495,N/A
p5_find_duplicates_list,prompt_1,20,['def funcImp(arg1):\n    duplicates = []\n    seen = set()\n    for item in arg1:\n        if item in seen and item not in duplicates:\n            duplicates.append(item)\n        seen.add(item)\n    return duplicates'],10000,0.04209520004224032,0.04592452999670058,0.08177340007387102,N/A
p5_find_duplicates_list,prompt_1,20,['def funcImp(arg1):\n    duplicates = []\n    seen = set()\n    for item in arg1:\n        if item in seen and item not in duplicates:\n            duplicates.append(item)\n        seen.add(item)\n    return duplicates'],100000,4.54422959999647,4.78344107100158,5.3923492999747396,N/A
p5_find_duplicates_list,prompt_1,21,['def funcImp(arg1):\n    seen = set()\n    duplicates = []\n    for item in arg1:\n        if item in seen:\n            duplicates.append(item)\n        else:\n            seen.add(item)\n    return duplicates'],1000,0.003247200045734644,0.0037683459988329558,0.0072824000380933285,N/A
p5_find_duplicates_list,prompt_1,21,['def funcImp(arg1):\n    seen = set()\n    duplicates = []\n    for item in arg1:\n        if item in seen:\n            duplicates.append(item)\n        else:\n            seen.add(item)\n    return duplicates'],10000,0.042223399970680475,0.044610856007784604,0.06200810009613633,N/A
p5_find_duplicates_list,prompt_1,21,['def funcImp(arg1):\n    seen = set()\n    duplicates = []\n    for item in arg1:\n        if item in seen:\n            duplicates.append(item)\n        else:\n            seen.add(item)\n    return duplicates'],100000,0.6905579000012949,0.7282495399960317,0.9146905000088736,N/A
p5_find_duplicates_list,prompt_1,22,['def funcImp(arg1):\n    seen = set()\n    duplicates = set()\n    for item in arg1:\n        if item in seen:\n            duplicates.add(item)\n        else:\n            seen.add(item)\n    return list(duplicates)'],1000,0.0033416999503970146,0.003663461997639388,0.007189699914306402,N/A
p5_find_duplicates_list,prompt_1,22,['def funcImp(arg1):\n    seen = set()\n    duplicates = set()\n    for item in arg1:\n        if item in seen:\n            duplicates.add(item)\n        else:\n            seen.add(item)\n    return list(duplicates)'],10000,0.04254340007901192,0.04603510900051333,0.06726879999041557,N/A
p5_find_duplicates_list,prompt_1,22,['def funcImp(arg1):\n    seen = set()\n    duplicates = set()\n    for item in arg1:\n        if item in seen:\n            duplicates.add(item)\n        else:\n            seen.add(item)\n    return list(duplicates)'],100000,0.7023773000109941,0.7351851709990297,0.8150471000699326,N/A
p5_find_duplicates_list,prompt_1,23,['def funcImp(arg1):\n    seen = set()\n    duplicates = set()\n    for num in arg1:\n        if num in seen:\n            duplicates.add(num)\n        else:\n            seen.add(num)\n    return list(duplicates)'],1000,0.003310699947178364,0.0036124069977086035,0.006252199993468821,N/A
p5_find_duplicates_list,prompt_1,23,['def funcImp(arg1):\n    seen = set()\n    duplicates = set()\n    for num in arg1:\n        if num in seen:\n            duplicates.add(num)\n        else:\n            seen.add(num)\n    return list(duplicates)'],10000,0.04187199997249991,0.04555961000500247,0.0708524000365287,N/A
p5_find_duplicates_list,prompt_1,23,['def funcImp(arg1):\n    seen = set()\n    duplicates = set()\n    for num in arg1:\n        if num in seen:\n            duplicates.add(num)\n        else:\n            seen.add(num)\n    return list(duplicates)'],100000,0.7003540999721736,0.7408624010009226,0.8555553000187501,N/A
p5_find_duplicates_list,prompt_1,24,"['def funcImp(arg1):\n    element_count = {}\n    duplicates = []\n    for element in arg1:\n        if element in element_count:\n            element_count[element] += 1\n        else:\n            element_count[element] = 1\n    for element, count in element_count.items():\n        if count > 1:\n            duplicates.append(element)\n    return duplicates\nexample_list = [1, 2, 3, 4, 4, 5, 6, 6, 6, 7, 8, 8]\npass']",1000,0.005056500085629523,0.005468045998131856,0.006899299914948642,N/A
p5_find_duplicates_list,prompt_1,24,"['def funcImp(arg1):\n    element_count = {}\n    duplicates = []\n    for element in arg1:\n        if element in element_count:\n            element_count[element] += 1\n        else:\n            element_count[element] = 1\n    for element, count in element_count.items():\n        if count > 1:\n            duplicates.append(element)\n    return duplicates\nexample_list = [1, 2, 3, 4, 4, 5, 6, 6, 6, 7, 8, 8]\npass']",10000,0.05488040007185191,0.05972782500321046,0.15411420003511012,N/A
p5_find_duplicates_list,prompt_1,24,"['def funcImp(arg1):\n    element_count = {}\n    duplicates = []\n    for element in arg1:\n        if element in element_count:\n            element_count[element] += 1\n        else:\n            element_count[element] = 1\n    for element, count in element_count.items():\n        if count > 1:\n            duplicates.append(element)\n    return duplicates\nexample_list = [1, 2, 3, 4, 4, 5, 6, 6, 6, 7, 8, 8]\npass']",100000,0.9255266999825835,0.9642635660013184,1.019285700051114,N/A
p5_find_duplicates_list,prompt_1,25,['def funcImp(arg1):\n    seen = set()\n    duplicates = []\n    for element in arg1:\n        if element in seen and element not in duplicates:\n            duplicates.append(element)\n        seen.add(element)\n    return duplicates'],1000,0.003244000021368265,0.0034576359950006007,0.004014599951915443,N/A
p5_find_duplicates_list,prompt_1,25,['def funcImp(arg1):\n    seen = set()\n    duplicates = []\n    for element in arg1:\n        if element in seen and element not in duplicates:\n            duplicates.append(element)\n        seen.add(element)\n    return duplicates'],10000,0.04137859994079918,0.04552600699942559,0.0667157000862062,N/A
