problem,prompt_name,code_index,code_segment,Size,Min,Average,Max,Exception
p1_find_missing_number,prompt_1,1,['def funcImp(arg1):\n    n = len(arg1) + 1\n    expected_sum = n * (n + 1) // 2\n    actual_sum = sum(arg1)\n    missing_number = expected_sum - actual_sum\n    return missing_number'],1000,0.00022220000391826034,0.0002316350006731227,0.000285100017208606,N/A
p1_find_missing_number,prompt_1,1,['def funcImp(arg1):\n    n = len(arg1) + 1\n    expected_sum = n * (n + 1) // 2\n    actual_sum = sum(arg1)\n    missing_number = expected_sum - actual_sum\n    return missing_number'],10000,0.002043000014964491,0.002173397002625279,0.004851899982895702,N/A
p1_find_missing_number,prompt_1,1,['def funcImp(arg1):\n    n = len(arg1) + 1\n    expected_sum = n * (n + 1) // 2\n    actual_sum = sum(arg1)\n    missing_number = expected_sum - actual_sum\n    return missing_number'],100000,0.0652674000011757,0.07088182200095616,0.08688459999393672,N/A
p1_find_missing_number,prompt_1,2,['def funcImp(arg1):\n    n = len(arg1) + 1\n    expected_sum = n * (n + 1) // 2\n    actual_sum = sum(arg1)\n    return expected_sum - actual_sum'],1000,0.0002204999909736216,0.00024341299838852139,0.0005094999796710908,N/A
p1_find_missing_number,prompt_1,2,['def funcImp(arg1):\n    n = len(arg1) + 1\n    expected_sum = n * (n + 1) // 2\n    actual_sum = sum(arg1)\n    return expected_sum - actual_sum'],10000,0.002055699995253235,0.00218759800074622,0.0030200000037439167,N/A
p1_find_missing_number,prompt_1,2,['def funcImp(arg1):\n    n = len(arg1) + 1\n    expected_sum = n * (n + 1) // 2\n    actual_sum = sum(arg1)\n    return expected_sum - actual_sum'],100000,0.06607669999357313,0.070293423004332,0.08737470000050962,N/A
p1_find_missing_number,prompt_1,3,['def funcImp(arg1):\n    n = len(arg1) + 1\n    total_sum = n * (n + 1) // 2\n    actual_sum = sum(arg1)\n    missing_number = total_sum - actual_sum\n    return missing_number'],1000,0.00022659997921437025,0.00023194000008516013,0.00032140000257641077,N/A
p1_find_missing_number,prompt_1,3,['def funcImp(arg1):\n    n = len(arg1) + 1\n    total_sum = n * (n + 1) // 2\n    actual_sum = sum(arg1)\n    missing_number = total_sum - actual_sum\n    return missing_number'],10000,0.00209650001488626,0.002209553000284359,0.003583699988666922,N/A
p1_find_missing_number,prompt_1,3,['def funcImp(arg1):\n    n = len(arg1) + 1\n    total_sum = n * (n + 1) // 2\n    actual_sum = sum(arg1)\n    missing_number = total_sum - actual_sum\n    return missing_number'],100000,0.06541869998909533,0.06904023899871391,0.08073200000217184,N/A
p1_find_missing_number,prompt_1,4,['def funcImp(arg1):\n    n = len(arg1) + 1\n    total_sum = n * (n + 1) // 2\n    array_sum = sum(arg1)\n    missing_number = total_sum - array_sum\n    return missing_number'],1000,0.00022200000239536166,0.0002306310011772439,0.0002665999927558005,N/A
p1_find_missing_number,prompt_1,4,['def funcImp(arg1):\n    n = len(arg1) + 1\n    total_sum = n * (n + 1) // 2\n    array_sum = sum(arg1)\n    missing_number = total_sum - array_sum\n    return missing_number'],10000,0.002085299987811595,0.0021913620026316493,0.0030509000062011182,N/A
p1_find_missing_number,prompt_1,4,['def funcImp(arg1):\n    n = len(arg1) + 1\n    total_sum = n * (n + 1) // 2\n    array_sum = sum(arg1)\n    missing_number = total_sum - array_sum\n    return missing_number'],100000,0.06598419998772442,0.06885509299987462,0.10783280001487583,N/A
p1_find_missing_number,prompt_1,5,['def funcImp(arg1):\n    n = len(arg1) + 1\n    total_sum = n * (n + 1) // 2\n    array_sum = sum(arg1)\n    missing_number = total_sum - array_sum\n    return missing_number'],1000,0.0002142000012099743,0.00022723500325810164,0.0002502999850548804,N/A
p1_find_missing_number,prompt_1,5,['def funcImp(arg1):\n    n = len(arg1) + 1\n    total_sum = n * (n + 1) // 2\n    array_sum = sum(arg1)\n    missing_number = total_sum - array_sum\n    return missing_number'],10000,0.001974600018002093,0.002155751995742321,0.005748800002038479,N/A
p1_find_missing_number,prompt_1,5,['def funcImp(arg1):\n    n = len(arg1) + 1\n    total_sum = n * (n + 1) // 2\n    array_sum = sum(arg1)\n    missing_number = total_sum - array_sum\n    return missing_number'],100000,0.06577059999108315,0.06928337100078352,0.08079599996563047,N/A
p1_find_missing_number,prompt_1,6,['def funcImp(arg1):\n    n = len(arg1) + 1\n    total_sum = n * (n + 1) // 2\n    array_sum = sum(arg1)\n    missing_number = total_sum - array_sum\n    return missing_number'],1000,0.000221800000872463,0.00022878700227010995,0.00024310004664584994,N/A
p1_find_missing_number,prompt_1,6,['def funcImp(arg1):\n    n = len(arg1) + 1\n    total_sum = n * (n + 1) // 2\n    array_sum = sum(arg1)\n    missing_number = total_sum - array_sum\n    return missing_number'],10000,0.0019699999829754233,0.002071311997133307,0.0024426000309176743,N/A
p1_find_missing_number,prompt_1,6,['def funcImp(arg1):\n    n = len(arg1) + 1\n    total_sum = n * (n + 1) // 2\n    array_sum = sum(arg1)\n    missing_number = total_sum - array_sum\n    return missing_number'],100000,0.06511369999498129,0.06989011799974833,0.09285330004058778,N/A
p1_find_missing_number,prompt_1,7,['def funcImp(arg1):\n    n = len(arg1) + 1\n    total_sum = n * (n + 1) // 2\n    actual_sum = sum(arg1)\n    missing_number = total_sum - actual_sum\n    return missing_number'],1000,0.0002204999909736216,0.0002245540003059432,0.0002470999606885016,N/A
