serial_number,Category,ProblemType,problem
1,easy,Finding the sum of two numbers,Write a program that takes two integers as input and calculates their sum.
2,easy,Finding the sum of two numbers,Implement a function that returns the sum of two floating-point numbers.
3,easy,Finding the sum of two numbers,"Write a function that takes two strings containing numeric values, converts them to integers, and returns their sum."
4,easy,Finding the sum of two numbers,Develop an algorithm to find the sum of two binary numbers represented as strings.
5,easy,Finding the sum of two numbers,Create a function that finds the sum of all odd numbers between two given integers (inclusive).
6,easy,Finding the sum of two numbers,Write an algorithm to find the sum of all prime numbers between two given integers (inclusive).
7,easy,Calculating the average of a list of numbers,Write a program to calculate the average of a list of numbers using a for loop.
8,easy,Calculating the average of a list of numbers,Implement a function that takes in a list of numbers and returns the average using recursion.
9,easy,Calculating the average of a list of numbers,Create a program that calculates the average of a list of numbers without using any built-in functions or libraries.
10,easy,Calculating the average of a list of numbers,"Design an algorithm to find the average of a list of numbers, handling cases where the list is empty or contains invalid entries."
11,easy,Calculating the average of a list of numbers,"Develop a program that calculates the weighted average of a list of numbers, given their respective weights."
12,easy,Calculating the average of a list of numbers,Write a function that finds the median (middle value) of a list of numbers and then calculates the average of all values greater than or equal to the median.
13,easy,Calculating the average of a list of numbers,Implement an algorithm to calculate the moving average (average over a sliding window) for each element in a given list.
14,easy,Calculating the average of a list of numbers,"Design an efficient algorithm to calculate the running average (average up to current position) for each element in an array, without modifying the original array."
15,easy,Checking if a number is prime,Write a program to check if a given number is prime or not.
16,easy,Checking if a number is prime,Implement a function that returns the smallest prime number greater than a given input.
17,easy,Checking if a number is prime,Create a program that prints all the prime numbers between two given numbers.
18,easy,Checking if a number is prime,Develop an algorithm to find the sum of all prime numbers within a given range.
19,easy,Checking if a number is prime,Design a function to calculate the largest prime factor of a given number.
20,easy,Checking if a number is prime,Write code to determine if a given number is semiprime (a product of two prime numbers).
21,easy,Checking if a number is prime,Implement an efficient algorithm to generate the nth prime number.
22,easy,Checking if a number is prime,Create a program that counts the total number of prime numbers less than or equal to a given input.
23,easy,Checking if a number is prime,Develop an algorithm to find the next twin prime pair after a given number (two primes with only one even number between them).
24,easy,Checking if a number is prime,Write code to determine if two given numbers are coprime (their greatest common divisor is 1).
25,easy,Reversing a string,Write a program to reverse a given string without using any built-in functions.
26,easy,Reversing a string,Implement a function that takes a string as input and returns the reversed string.
27,easy,Reversing a string,Create an algorithm to reverse the words in a sentence while keeping the word order intact.
28,easy,Reversing a string,Design a program to check if a given string is a palindrome (reads the same forwards and backwards).
29,easy,Reversing a string,"Develop an algorithm to reverse only the vowels in a given string, while keeping consonants in their original positions."
30,easy,Reversing a string,"Write code to reverse the case of each character in a given string (e.g., 'Hello World' becomes 'hELLO wORLD')."
31,easy,Reversing a string,"Implement a function that reverses every other word in a sentence, starting from the second word."
32,easy,Reversing a string,"Design an algorithm that reverses only the characters within parentheses in a given string, while leaving other characters unchanged."
33,easy,Reversing a string,"Create code to reverse each individual word in a sentence, while preserving whitespace and punctuation."
34,easy,Reversing a string,"Develop an efficient algorithm to reverse large strings (e.g., strings with millions of characters) without causing memory or performance issues."
35,easy,Counting the occurrence of a character in a string,Write a function that takes a string and a character as input and returns the number of occurrences of that character in the string.
36,easy,Counting the occurrence of a character in a string,"Given a string, find the most frequent character(s) and their count(s)."
37,easy,Counting the occurrence of a character in a string,Write a program to count the number of vowels in a given string.
38,easy,Counting the occurrence of a character in a string,Implement a function that counts the number of uppercase letters in a string.
39,easy,Counting the occurrence of a character in a string,Create an algorithm to count the occurrences of each word in a sentence.
40,easy,Counting the occurrence of a character in a string,Write a program to find the longest substring without repeating characters and return its length.
41,easy,Counting the occurrence of a character in a string,"Given two strings, write an algorithm to check if they are anagrams (contain exactly the same characters with the same frequency)."
42,easy,Counting the occurrence of a character in a string,"Implement a function to count the number of special characters (e.g., punctuation marks) in a given string."
